yahoo,tv,name,exchange,epsTtm,peTtm,growth5y,rule,pegLynch,pass
GME,NYSE:GME,GameStop Corp.,NYSE,0.93,10.9441,550.175,lynch_peg,0.0198921,true
GMED,NYSE:GMED,"Globus Medical, Inc.",NYSE,3.98,21.7078,30.7886,lynch_peg,0.70506,true
GMRS,NYSE:GMRS,GMR Solutions Inc.,NYSE,0.16,107.442,,,,false
GNRC,NYSE:GNRC,Generac Holdings Inc.,NYSE,2.73,49.8299,-13.4155,pe15,-3.71434,false
GNTX,NASDAQ:GNTX,Gentex Corporation,NASDAQ,1.74,12.5582,4.29561,pe15,2.9235,true
GNW,NYSE:GNW,"Genworth Financial, Inc.",NYSE,0.55,18.5229,-18.2896,pe15,-1.01276,false
GOLD,NYSE:GOLD,"Gold.com, Inc.",NYSE,0.73,14.294,-19.5784,pe15,-0.73009,true
GOLF,NYSE:GOLF,Acushnet Holdings Corp.,NYSE,3.12,24.5734,19.3199,lynch_peg,1.27192,false
GOOD,NASDAQ:GOOD,Gladstone Commercial Corporation,NASDAQ,0.41,24.8399,35.4279,lynch_peg,0.701138,true
GOOG,NASDAQ:GOOG,Alphabet Inc.,NASDAQ,10.91,17.1703,29.8095,lynch_peg,0.576,true
GOOGL,NASDAQ:GOOGL,Alphabet Inc.,NASDAQ,10.91,17.1738,29.8095,lynch_peg,0.576117,true
GOOS,NYSE:GOOS,Canada Goose Holdings Inc.,NYSE,0.24,20.4237,-17.8124,pe15,-1.1466,false
GPC,NYSE:GPC,Genuine Parts Company,NYSE,0.47,518,-30.7455,pe15,-16.848,false
GPK,NYSE:GPK,Graphic Packaging Holding Company,NYSE,1.49,17.5076,19.9519,lynch_peg,0.877491,true
GPN,NYSE:GPN,Global Payments Inc.,NYSE,5.84,-23.7538,24.5305,lynch_peg,-0.96834,false
GPOR,NYSE:GPOR,Gulfport Energy Corp,NYSE,21.74,6.80159,20.1912,lynch_peg,0.336859,true
GPRK,NYSE:GPRK,GeoPark Limited,NYSE,0.96,6.43624,0,pe15,,true
GRBK,NYSE:GRBK,"Green Brick Partners, Inc.",NYSE,7.09,10.5787,25.8035,lynch_peg,0.409972,true
GRDN,NYSE:GRDN,"Guardian Pharmacy Services, Inc.",NYSE,0.79,36.8381,19.0756,lynch_peg,1.93117,false
GRFS,NASDAQ:GRFS,"Grifols, S.A.",NASDAQ,0.57,14.794,-4.82774,pe15,-3.06438,true
GRMN,NYSE:GRMN,Garmin Ltd.,NYSE,8.65,32.0492,10.7566,pe15,2.97949,false
GRND,NYSE:GRND,Grindr Inc.,NYSE,0.5,31.1154,46.5851,lynch_peg,0.667925,true
GRNT,NYSE:GRNT,"Granite Ridge Resources, Inc",NYSE,0.18,-24.6429,36.9362,lynch_peg,-0.667173,false
GS,NYSE:GS,"The Goldman Sachs Group, Inc.",NYSE,51.95,15.7733,15.7429,lynch_peg,1.00193,false
GSBD,NYSE:GSBD,"Goldman Sachs BDC, Inc.",NYSE,1.03,19.4216,-20.5811,pe15,-0.943661,false
GSHD,NASDAQ:GSHD,"Goosehead Insurance, Inc",NASDAQ,1.11,45.9406,15.0779,lynch_peg,3.04687,false
GSK,NYSE:GSK,GSK plc,NYSE,2.82,15.1083,-0.420183,pe15,-35.9566,false
GSL,NYSE:GSL,"Global Ship Lease, Inc.",NYSE,11.4,4.02404,37.4939,lynch_peg,0.107325,true
GTES,NYSE:GTES,Gates Industrial Corporation plc,NYSE,0.98,19.465,-13.7469,pe15,-1.41596,false
GTX,NASDAQ:GTX,Garrett Motion Inc.,NASDAQ,1.55,15.5722,7.89596,pe15,1.97217,false
GTY,NYSE:GTY,Getty Realty Corp.,NYSE,1.35,19.9431,-3.58075,pe15,-5.56954,false
GVA,NYSE:GVA,Granite Construction Incorporated,NYSE,4.42,-33.6366,24.1918,lynch_peg,-1.39041,false
GWRE,NYSE:GWRE,"Guidewire Software, Inc.",NYSE,0.83,91.6455,22.1396,lynch_peg,4.13945,false
GWW,NYSE:GWW,"W.W. Grainger, Inc.",NYSE,35.47,33.6713,22.2504,lynch_peg,1.51329,false
GXO,NYSE:GXO,"GXO Logistics, Inc.",NYSE,0.28,42.1768,-9.80293,pe15,-4.30247,false
HAE,NYSE:HAE,Haemonetics Corporation,NYSE,2.05,44.1189,5.48018,pe15,8.05064,false
HAFC,NASDAQ:HAFC,Hanmi Financial Corporation,NASDAQ,2.55,10.913,13.066,pe15,0.835221,true
HAFN,NYSE:HAFN,Hafnia Limited,NYSE,0.7,8.38587,9.23885,pe15,0.907675,true
HAL,NYSE:HAL,Halliburton Company,NYSE,1.51,17.9024,-3.15581,pe15,-5.67284,false
HALO,NASDAQ:HALO,"Halozyme Therapeutics, Inc.",NASDAQ,2.64,27.9858,22.6806,lynch_peg,1.23391,false
HAPN,NASDAQ:HAPN,"Happen, Inc. Common Stock",NASDAQ,1.18,11.6353,57.8636,lynch_peg,0.201081,true
HASI,NYSE:HASI,"HA Sustainable Infrastructure Capital, Inc.",NYSE,1.49,65.053,5.687,pe15,11.4389,false
HAWK,NYSE:HAWK,"HawkEye 360, Inc.",NYSE,0.0005,-19.5951,,,,false
HAYW,NYSE:HAYW,"Hayward Holdings, Inc.",NYSE,0.7,20.2867,141.057,lynch_peg,0.143819,true
HBAN,NASDAQ:HBAN,Huntington Bancshares Incorporated,NASDAQ,1.41,13.1912,15.0335,lynch_peg,0.877454,true
HBM,NYSE:HBM,Hudbay Minerals Inc.,NYSE,1.46,16.0503,23.6695,lynch_peg,0.6781,true
