TSX:CCL-A|CCL Industries Inc.
TSX:CCL-B|CCL Industries Inc.
TSX:CFW|Calfrac Well Services Ltd.
TSX:CGG|China Gold International Resources Corp. Ltd.
TSX:CGY|Calian Group Ltd.
TSX:CJ|Cardinal Energy Ltd.
TSX:CJT|Cargojet Inc.
TSX:CPH|Cipher Pharmaceuticals Inc.
TSX:CPKR|CANADA PACKERS INC
TSX:CRRX|CareRx Corporation
TSX:CSU|Constellation Software Inc.
TSX:CSW-A|Corby Spirit and Wine Limited
TSX:CSW-B|Corby Spirit and Wine Limited
TSX:CTC|Canadian Tire Corporation, Limited
TSX:CTC-A|Canadian Tire Corporation, Limited
TSX:CU|Canadian Utilities Limited
TSX:CVG|Clairvest Group Inc.
TSX:CWL|The Caldwell Partners International Inc.
TSX:CYB|Cymbria Corporation
TSX:DBM|Doman Building Materials Group Ltd.
TSX:DC-A|Dundee Corporation
TSX:DCM|DATA Communications Management Corp.
TSX:DF|Dividend 15 Split Corp. II
TSX:DFN|Dividend 15 Split Corp.
TSX:DFY|Definity Financial Corporation
TSX:DLCG|Dominion Lending Centres Inc.
TSX:DNG|Dynacor Group Inc.
TSX:DR|Medical Facilities Corporation
TSX:DS|Dividend Select 15 Corp.
TSX:DTOL|D2L Inc.
TSX:DXT|Dexterra Group Inc.
TSX:E|Enterprise Group, Inc.
TSX:EFN|Element Fleet Management Corp.
TSX:ELEF|Silver Elephant Mining Corp.
TSX:EMP-A|Empire Company Limited
TSX:ENGH|Enghouse Systems Limited
TSX:EQB|EQB Inc.
TSX:ERD|Erdene Resource Development Corporation
TSX:FFH|Fairfax Financial Holdings Limited
TSX:FFN|North American Financial 15 Split Corp.
TSX:FRU|Freehold Royalties Ltd.
TSX:FTG|Firan Technology Group Corporation
TSX:FTN|Financial 15 Split Corp.
TSX:FTT|Finning International Inc.
TSX:FVI|Fortuna Mining Corp.
TSX:GCU|Gunnison Copper Corp.
TSX:GDL|Goodfellow Inc.
TSX:GDV|Global Dividend Growth Split Corp.
TSX:GEI|Gibson Energy Inc.
TSX:GGD|GoGold Resources Inc.
TSX:GIB-A|CGI Inc.
TSX:GMIN|G Mining Ventures Corp.
TSX:GMX|Globex Mining Enterprises Inc.
TSX:GRGD|Groupe Dynamite Inc.
TSX:GUD|Knight Therapeutics Inc.
TSX:GVC|Glacier Media Inc.
TSX:GWO|Great-West Lifeco Inc.
TSX:HMM-A|Hammond Manufacturing Company Limited
TSX:HPS-A|Hammond Power Solutions Inc.
TSX:HWO|High Arctic Energy Services Inc
TSX:HWX|Headwater Exploration Inc.
TSX:ISC|Information Services Corporation
TSX:IVN|Ivanhoe Mines Ltd.
TSX:JOY|Journey Energy Inc.
TSX:K|Kinross Gold Corporation
TSX:KBL|K-Bro Linen Inc.
TSX:KEI|Kolibri Global Energy Inc.
TSX:KEL|Kelt Exploration Ltd.
TSX:KITS|Kits Eyecare Ltd.
TSX:KNT|K92 Mining Inc.
TSX:KPT|KP Tissue Inc.
TSX:KXS|Kinaxis Inc.
TSX:LAS-A|Lassonde Industries Inc.
TSX:LBS|Life & Banc Split Corp.
