AMEX:NG|NovaGold Resources Inc.
AMEX:NGD|New Gold Inc.
NYSE:NGVT|Ingevity Corporation
NASDAQ:NICE|NICE Ltd.
NYSE:NIQ|NIQ Global Intelligence plc
NYSE:NJR|New Jersey Resources Corporation
NASDAQ:NKTR|Nektar Therapeutics
NASDAQ:NMIH|NMI Holdings, Inc.
NASDAQ:NMRK|Newmark Group, Inc.
NASDAQ:NN|NextNav Inc.
NYSE:NNN|NNN REIT, Inc.
NYSE:NOG|Northern Oil and Gas, Inc.
NYSE:NOV|NOV Inc.
NASDAQ:NOVT|Novanta Inc.
NYSE:NP|Neptune Insurance Holdings Inc.
NYSE:NSA|National Storage Affiliates Trust
NASDAQ:NSIT|Insight Enterprises, Inc.
NASDAQ:NTCT|NetScout Systems, Inc.
NASDAQ:NTSK|Netskope, Inc.
NYSE:NTST|NETSTREIT Corp.
NASDAQ:NUVL|Nuvalent, Inc.
NYSE:NVG|Nuveen AMT-Free Municipal Credit Income Fund
NYSE:NVST|Envista Holdings Corporation
NASDAQ:NWE|NorthWestern Energy Group, Inc.
NASDAQ:NWL|Newell Brands Inc.
NYSE:NXE|NexGen Energy Ltd.
NASDAQ:NXST|Nexstar Media Group, Inc.
NYSE:NZF|Nuveen Municipal Credit Income Fund
NYSE:OBDC|Blue Owl Capital Corporation
NYSE:OGE|OGE Energy Corp.
NYSE:OGN|Organon & Co.
NYSE:OGS|ONE Gas, Inc.
NYSE:OI|O-I Glass, Inc.
NYSE:OII|Oceaneering International, Inc.
NYSE:OKLO|Oklo Inc.
NASDAQ:OLED|Universal Display Corporation
NASDAQ:OLLI|Ollie's Bargain Outlet Holdings, Inc.
